regNumber,title,img,labels
15253253,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/15253253_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x170 at 0x7F7D1EBE5030>,54
10552751,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/10552751_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x160 at 0x7F7D1EBE4BE0>,41
11250941,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/11250941_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x574 at 0x7F7D1EBE4C10>,75
11250969,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/11250969_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x162 at 0x7F7D1EBE4E20>,13
17152188,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152188_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x597 at 0x7F7D1EBE4FD0>,65
11250884,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/11250884_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x569 at 0x7F7D1EBE5060>,25
17123680,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17123680_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x183 at 0x7F7D1EBE4EE0>,40
17152601,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152601_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=452x600 at 0x7F7D1EBE51B0>,18
17152583,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152583_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE4F70>,17
17152566,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152566_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE4F10>,10
